CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,11SN72,,,,,,,,,,,,458506.13,38103.5,0,0,0,,0,0,0,0,,461575.86,38103.5,499679.36,499679.36,496609.63,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7AIG10048,,,,,,,,,,,,67470,5622.5,0,0,0,,0,0,0,0,,67470,5622.5,73092.5,73092.5,73092.5,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7AIG32142,,,,,,,,,,,,72522,6043.5,0,0,0,,0,0,0,0,,72522,6043.5,78565.5,78565.5,78565.5,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7AIG57233,,,,,,,,,,,,528179.69,43381,0,0,0,,0,0,0,0,,540596.85,43381,583977.85,583977.85,571560.69,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7ARQ2124,,,,,,,,,,,,34350,2862.5,0,0,0,,0,0,0,0,,34350,2862.5,37212.5,37212.5,37212.5,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7AZU2054,,,,,,,,,,,,437245.72,36225.5,0,0,0,,0,0,0,0,,440384.57,36225.5,476610.07,476610.07,473471.22,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7AZU2061,,,,,,,,,,,,543600,45300,0,0,0,,0,0,0,0,,543600,45300,588900,588900,588900,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7GFH2009,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7RA1VG52,,,,,,,,,,,,198460.13,16433,0,0,0,,0,0,0,0,,201529.86,16433,217962.86,217962.86,214893.13,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7RACNK01,,,,,,,,,,,,472290,39357.5,0,0,0,,0,0,0,0,,472290,39357.5,511647.5,511647.5,511647.5,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7RAPAB02,,,,,,,,,,,,387169.98,30865,0,0,0,,0,0,0,0,,399335.34,30865,430200.34,430200.34,418034.98,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7RAPJB01,,,,,,,,,,,,274911.43,22486,0,0,0,,0,0,0,0,,281189.13,22486,303675.13,303675.13,297397.43,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,7RBP36088,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,8LBB2071,,,,,,,,,,,,2193390,188076,0,-30.36,0,,0,0,0,0,,2193390,188076,2381466,2381466,2381496.36,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,K6MKJ,,,,,,,,,,,,167940,13995,0,0,0,,0,0,0,0,,167940,13995,181935,181935,181935,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,K6S96,,,,,,,,,,,,660420,55035,0,0,0,,0,0,0,0,,660420,55035,715455,715455,715455,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,K6Y204,,,,,,,,,,,,34350,2862.5,0,0,0,,0,0,0,0,,34350,2862.5,37212.5,37212.5,37212.5,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,K6Y91,,,,,,,,,,,,100764,8397,0,0,0,,0,0,0,0,,100764,8397,109161,109161,109161,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,MKT059679,,,,,,,,,,,,195392.25,16072,0,0,0,,0,0,0,0,,201531.72,16072,217603.72,217603.72,211464.25,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,C,MT114268,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,,,,,,,0,0,,,,,,,
CO,NCCL,2026-05-09,2026-05-09,1,P,M51089,01292,P,01292,,,,,,,,,,,,53460.54,2862.5,0,0,0,,0,0,0,0,,49800,2862.5,52662.5,52662.5,56323.04,,,,,,,0,0,,,,,,,
Sgmt,Src,RptgDt,BizDt,TradRegnOrgn,Lvl,ClrMmbId,BrkrOrCtdnPtcptId,ClntTp,ClntId,ISIN,TckrSymb,SttlmTp,SctiesSttlmTxId,SctySrs,FinInstrmId,FinInstrmTp,XpryDt,StrkPric,OptnTp,ValAtRskMrgn,SPANMrgn,LossMrgn,PrmAmt,CnsltdCrstllsdOblgtnMrg,DlvrySttlmtMrgn,SpclMrgn,SpclCshMrgn,TndrMrgn,AddtlMrgn,MrkToMktNetd,MinMrgn,SPANMrgnMin,XtrmLossMrgnMin,AggtPeakLbltyRptd,EndOfDayRqrmntRptd,TtlMrgnAsPerActlParams,TtlBuyTradgVol,TtlBuyTrfVal,TtlSellTradgVol,TtlSellTrfVal,NetOpnQty,NetOpnVal,CncntrtnMrgn,DvlmntMrgn,CrossMrgnBnftForSPAN,CrossMrgnBnftForELM,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
