09-MAY-2026,M,M50807,Parker Derivatives (India) Private Limited,420570.61,6336728.00,589936.00
09-MAY-2026,M,M50824,Swastika Investmart Limited,20000000,57772958.66,5364359.85
09-MAY-2026,M,M50833,AMRAPALI INDUSTRIES LIMITED,0,0.00,0.00
09-MAY-2026,M,M50867,WAY2WEALTH COMMODITIES PRIVATE LIMITED,0,0.00,0.00
09-MAY-2026,M,M50879,GEOFIN COMTRADE LIMITED,-5000000,0.00,0.00
09-MAY-2026,M,M50945,ROYAL INTERNATIONAL COMMODITY & DERIVATIVES PVT LTD,-5000000,0.00,0.00
09-MAY-2026,M,M51036,KUNJAL TRADE COMMODITIES LLP,-5000000,0.00,0.00
09-MAY-2026,M,M51053,360 ONE Distribution Services Limited,199800000,62103812.32,5229448.50
09-MAY-2026,M,M51054,GOLDEN VALLEY AGROTECH PVT LTD,-2450000,0.00,0.00
09-MAY-2026,M,M51055,Motilal Oswal Financial Services Limited,415000000,350365928.32,31194779.00
09-MAY-2026,M,M51056,Geojit Investments Limited,0,0.00,0.00
09-MAY-2026,M,M51057,Kredent Trading LLP,25411067.57,4158803.04,817415.32
09-MAY-2026,M,M51058,Goyal Securities,9000000,106470234.00,8959267.86
09-MAY-2026,M,M51059,Axis Securities Limited,18000000,33830344.26,3267842.00
09-MAY-2026,M,M51060,IIFL Capital Services Limited,150000000,217618297.62,20362177.78
09-MAY-2026,M,M51061,Anand Rathi Share And Stock Brokers Limited,115005834,172412274.38,15214365.34
09-MAY-2026,M,M51062,PhillipCapital (India) Private Limited,162236550,445561565.48,67629428.54
09-MAY-2026,M,M51064,SBICAP Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51065,Kotak Securities Limited,524314643.82,360327488.89,33802623.77
09-MAY-2026,M,M51068,Ventura Securities Limited,10000000,0.00,0.00
09-MAY-2026,M,M51070,Nirmal Bang Securities Private Limited,239012695.46,567385915.15,60077020.82
09-MAY-2026,M,M51071,Arihant Capital Markets Limited,13366442.48,31229603.06,2702365.50
09-MAY-2026,M,M51072,Pinnacle Forex and Securities Private Limited,6746981.9,99506054.60,10786929.92
09-MAY-2026,M,M51073,Religare Broking Limited,44000000,79035280.88,7608572.00
09-MAY-2026,M,M51075,Indira Securities Private Limited,12000000,36696901.32,5550449.56
09-MAY-2026,M,M51076,Emkay Global Financial Services Limited,20000000,0.00,0.00
09-MAY-2026,M,M51078,Marwadi Shares and Finance Limited,95434879.95,177189923.30,26670994.00
09-MAY-2026,M,M51079,Systematix Shares And Stocks India Limited,7042730.08,18726055.68,1541476.00
09-MAY-2026,M,M51080,Arya Fin Trade Services India Private Limited,13499999.87,2836791.87,250164.00
09-MAY-2026,M,M51081,Aditya Birla Money Limited,2400000,100086.00,8340.50
09-MAY-2026,M,M51082,JM Financial Services Limited,0,0.00,0.00
09-MAY-2026,M,M51085,Globe Capital Market Limited,225000000,1192614425.31,176072653.19
09-MAY-2026,M,M51087,Sunidhi Securities & Finance Limited,892518.01,6003804.00,500317.00
09-MAY-2026,M,M51088,Pace Stock Broking Services Private Limited,-5000000,0.00,0.00
09-MAY-2026,M,M51089,Master Capital Services Limited,14571675.7,6880421.86,574010.36
09-MAY-2026,M,M51090,Share India Securities Limited,78143131.68,32900289.40,7844584.04
09-MAY-2026,M,M51091,JAMBUWALA COMMODITIES PRIVATE LIMITED,61582290.45,36291513.93,3867816.73
09-MAY-2026,M,M51092,Adroit Financial Services Private Limited,691437.1,380339.84,37927.00
09-MAY-2026,M,M51093,Tradebulls Securities Private Limited,41385297.91,40197511.61,3769103.83
09-MAY-2026,M,M51094,Ashika Stock  Services Limited,1800000,0.00,0.00
09-MAY-2026,M,M51095,Steel City Securities Limited,5000000,4335375.26,409868.17
09-MAY-2026,M,M51097,Illuminati Trading Private Limited,-5000000,0.00,0.00
09-MAY-2026,M,M51098,ANS Private Limited,8000000,45089686.00,3930914.00
09-MAY-2026,M,M51099,Bonanza Portfolio Limited,10000000,29734714.75,2552812.00
09-MAY-2026,M,M51100,Jainam Broking Limited,69458672.6,21085956.70,1906131.00
09-MAY-2026,M,M51101,Angel Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51102,Vinod Shares Limited,0,0.00,0.00
09-MAY-2026,M,M51104,Arham Wealth Management Private Limited,0,7400290.89,819365.50
09-MAY-2026,M,M51105,Findoc Investmart Private Limited,7244200.6,6744223.72,584150.00
09-MAY-2026,M,M51106,UKS Forex Private Limited,0,0.00,0.00
09-MAY-2026,M,M51107,Raghunandan Capital Private Limited,48500000,32997834.42,3497725.73
09-MAY-2026,M,M51108,Mintcap Brokers Private Limited,0,0.00,0.00
09-MAY-2026,M,M51109,Nuvama Wealth and Investment Limited,95051989.52,77693357.88,7194288.50
09-MAY-2026,M,M51110,Paytm Money Limited,0,0.00,0.00
09-MAY-2026,M,M51111,Marwadi Chandarana Intermediaries Brokers Private Limited,25285084,6562488.00,546874.00
09-MAY-2026,M,M51112,Achintya Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51113,Neo Wealth Management Private Limited,0,0.00,0.00
Trade Date,Member Type,Member Code,Member Name,Total Deposits Available,Initial Margin Amount,Extreme Loss Margin Utilized
