Trade Date,Member Type,Member Code,Member Name,Total Deposits Available,Initial Margin Amount,Extreme Loss Margin Utilized
09-MAY-2026,M,M51036,KUNJAL TRADE COMMODITIES LLP,-5000000,0.00,0.00
09-MAY-2026,M,M51053,360 ONE Distribution Services Limited,199800000,62286305.13,5240546.00
09-MAY-2026,M,M51054,GOLDEN VALLEY AGROTECH PVT LTD,-2450000,0.00,0.00
09-MAY-2026,M,M51055,Motilal Oswal Financial Services Limited,415000000,354743953.20,30947719.50
09-MAY-2026,M,M51056,Geojit Investments Limited,0,0.00,0.00
09-MAY-2026,M,M51057,Kredent Trading LLP,25411067.57,4154153.78,810906.82
09-MAY-2026,M,M51058,Goyal Securities,9000000,107467333.63,8891482.86
09-MAY-2026,M,M51059,Axis Securities Limited,18000000,34188233.44,3234450.00
09-MAY-2026,M,M51060,IIFL Capital Services Limited,150000000,221404988.95,20274853.28
09-MAY-2026,M,M51061,Anand Rathi Share And Stock Brokers Limited,115005834,174362815.04,15081135.34
09-MAY-2026,M,M51062,PhillipCapital (India) Private Limited,162236550,451968163.12,67628733.54
09-MAY-2026,M,M51064,SBICAP Securities Limited,0,0.00,0.00
09-MAY-2026,M,M51065,Kotak Securities Limited,524314643.82,366802009.51,33584491.77
09-MAY-2026,M,M51068,Ventura Securities Limited,10000000,0.00,0.00
09-MAY-2026,M,M51070,Nirmal Bang Securities Private Limited,239012695.46,572561079.31,60010725.82
09-MAY-2026,M,M51071,Arihant Capital Markets Limited,13366442.48,31622985.92,2685766.00
09-MAY-2026,M,M51072,Pinnacle Forex and Securities Private Limited,6746981.9,100230571.62,10789376.42
09-MAY-2026,M,M51073,Religare Broking Limited,44000000,79799850.62,7593381.50
09-MAY-2026,M,M51075,Indira Securities Private Limited,12000000,37393419.02,5627183.56
09-MAY-2026,M,M51076,Emkay Global Financial Services Limited,20000000,0.00,0.00
09-MAY-2026,M,M51078,Marwadi Shares and Finance Limited,95434879.95,178815037.93,26637529.50
09-MAY-2026,M,M51079,Systematix Shares And Stocks India Limited,7042730.08,19214311.38,1506824.00
09-MAY-2026,M,M51080,Arya Fin Trade Services India Private Limited,13499999.87,3111185.53,243378.00
09-MAY-2026,M,M51081,Aditya Birla Money Limited,2400000,102206.74,8205.50
09-MAY-2026,M,M51082,JM Financial Services Limited,0,0.00,0.00
09-MAY-2026,M,M51085,Globe Capital Market Limited,225000000,1208360426.40,175529628.69
09-MAY-2026,M,M51087,Sunidhi Securities & Finance Limited,892518.01,6129422.07,491458.00
09-MAY-2026,M,M51088,Pace Stock Broking Services Private Limited,-5000000,0.00,0.00
